編號,行業別,事業單位,訪查時間,違反法令條款,處分書文號,處分書日期
1,冷飲業,楓爍冷飲店-功夫茶加盟店,102年8月13日,第30條第5項,1022703392,102年9月18日
2,冷飲業,功夫茶店-功夫茶加盟店,102年8月13日,第30條第5項,1022689298,102年9月16日
7,冷飲業,板中山咖啡小屋-85度C加盟店,102年8月23日,第22條第2項,1022722521,102年9月27日
7,冷飲業,板中山咖啡小屋-85度C加盟店,102年8月23日,第37條,10227225211,102年9月27日
7,冷飲業,板中山咖啡小屋-85度C加盟店,102年8月23日,第39條,10227225212,102年9月27日
8,冷飲業,豐大商行-85度C加盟店,102年8月27日,第24條,1022731826,102年9月27日
8,冷飲業,豐大商行-85度C加盟店,102年8月27日,第37條,10227318261,102年9月27日
9,冷飲業,美樂飴有限公司-85度C加盟店,102年8月29日,第24條,1022730540,102年9月26日
9,冷飲業,美樂飴有限公司-85度C加盟店,102年8月29日,第37條,10227305401,102年9月26日
9,冷飲業,美樂飴有限公司-85度C加盟店,102年8月29日,第39條,10227305402,102年9月26日
10,冷飲業,樂泉飲料店-清玉加盟店,102年8月29日,第30條第5項,1022731231,102年9月26日
11,冷飲業,天仁茶業股份有限公司-三重店,102年8月14日,第39條,1022552479,102年9月3日
12,冷飲業,天仁茶業股份有限公司-板橋店,102年8月14日,第39條,1022552479,102年9月3日
13,冷飲業,天仁茶業股份有限公司-新店店,102年8月14日,第39條,1022552479,102年9月3日
14,冷飲業,苑旺茶飲專賣店-大苑子加盟店,102年8月7日,第39條,1022505234,102年8月23日
15,冷飲業,原真冷飲店-橘子工坊加盟店,102年8月7日,第24條,1022552474,102年9月2日
15,冷飲業,原真冷飲店-橘子工坊加盟店,102年8月7日,第39條,10225524741,102年9月2日
18,冷飲業,六角國際事業股份有限公司-日出茶太加盟店,102年8月7日,第39條,1022511959,102年8月22日
19,冷飲業,兆紅國際事業股份有限公司-日出茶太加盟店,102年8月12日,第30條第5項,1022620708,102年9月9日
21,冷飲業,出光茶行-comebuy加盟店,102年8月6日,第24條,1022626235,102年9月10日
29,文具書店,笑笑笑國際股份有限公司(光南大批發)-三重分公司,102年7月26日,第24條,1022705450,102年9月23日
30,文具書店,笑笑笑國際股份有限公司(光南大批發)-永和分公司,102年7月26日,第24條,1022705450,102年9月23日
31,文具書店,何嘉仁實業股份有限公司(何嘉仁書店)-板橋店,102年7月29日,第39條,1022480869,102年8月23日
32,文具書店,何嘉仁實業股份有限公司(何嘉仁書店)-土城店,102年7月29日,第39條,1022480869,102年8月23日
33,視聽娛樂業,威秀影城股份有限公司,102年8月20日,第24條,1022715955,102年9月24日
34,視聽娛樂業,國賓影城股份有限公司,102年8月27日,第22條第2項,1022735036,102年9月30日
34,視聽娛樂業,國賓影城股份有限公司,102年8月27日,第38條,10227350361,102年9月30日
40,視聽娛樂業,星聚點股份有限公司,102年8月19日,第39條,1022661818,102年9月14日
47,補教業,耀德語文短期補習班-吉的堡美語加盟店,102年8月8日,第24條,1022586193,102年9月14日
53,補教業,私立環球文理短期補習班-芝麻街美語加盟店,102年8月12日,第30條第5項,1022618780,102年9月10日
54,補教業,佳可佳語文短期補習班-芝麻街美語加盟店,102年8月14日,第30條第5項,1022623175,102年9月10日
73,餐飲業,上乘三家有限公司(上乘三家),102年8月16日,第24條,1022671022,102年9月16日
73,餐飲業,上乘三家有限公司(上乘三家),102年8月16日,第39條,10226710221,102年9月16日
78,餐飲業,琨灃實業社-燒肉眾板橋店,102年8月22日,第24條,1022731461,102年9月26日
78,餐飲業,琨灃實業社-燒肉眾板橋店,102年8月22日,第37條,10227314611,102年9月26日
79,餐飲業,琨灃實業社-燒肉眾新莊店,102年8月22日,第37條,10227314611,102年9月26日
80,餐飲業,琨灃實業社-燒肉眾中和店,102年8月22日,第37條,10227314611,102年9月26日
83,餐飲業,展圓國際股份有限公司 (跳舞香水),102年7月17日,第24條,1022471160,102年8月20日
83,餐飲業,展圓國際股份有限公司 (跳舞香水),102年7月17日,第37條,10224711601,102年8月20日
83,餐飲業,展圓國際股份有限公司 (跳舞香水),102年7月17日,第39條,10224711602,102年8月20日
84,餐飲業,展圓國際股份有限公司(鰭彩壽司),102年7月17日,第39條,10224711602,102年8月20日
87,餐飲業,永全餐飲股份有限公司-千葉火鍋金城店,102年8月16日,第39條,1022628118,102年9月10日
88,餐飲業,聖倢企業有限公司-千葉火鍋永和店,102年8月20日,第24條,1022628132,102年9月9日
91,餐飲業,小蒙牛餐飲有限公司(小蒙牛)-新莊店,102年7月25日,第24條,1022703474,102年9月23日
92,餐飲業,小蒙牛餐飲有限公司(小蒙牛)-新店店,102年7月25日,第24條,1022703474,102年9月23日
93,餐飲業,伍寶餐坊-我家牛排加盟店,102年8月14日,第24條,1022560647,102年9月5日
93,餐飲業,伍寶餐坊-我家牛排加盟店,102年8月14日,第36條,10225606471,102年9月5日
94,餐飲業,中央貴族小吃店-貴族世家加盟店,102年8月9日,第39條,1022586108,102年9月13日
96,餐飲業,元加治食品有限公司(愛爾蘭瘋薯)-淡水店,102年8月16日,第39條,10227048411,102年9月27日
97,餐飲業,元加治食品有限公司(愛爾蘭瘋薯)-板橋店,102年8月16日,第39條,10227048411,102年9月27日
98,餐飲業,三商行股份有限公司(拿坡里)-板橋店,102年8月6日,第39條,1022555995,102年8月29日
99,餐飲業,三商行股份有限公司(拿坡里)-汐止店,102年8月6日,第39條,1022555995,102年8月29日
104,餐飲業,正永有限公司-SUBWAY加盟店,102年7月12日,第39條,1022544952,102年8月29日
105,餐飲業,融佐有限公司-SUBWAY加盟店,102年7月11日,第39條,1022399205,102年8月12日
108,餐飲業,食萊運轉有限公司--田季發爺加盟店,102年7月18日,第36條,1022545384,102年8月29日
109,餐飲業,黑肉燒烤屋-田季發爺加盟店,102年7月18日,第24條,1022453337,102年8月15日
109,餐飲業,黑肉燒烤屋-田季發爺加盟店,102年7月18日,第39條,10224533371,102年8月15日
111,餐飲業,家城股份有限公司(漢堡王)-永和中正店,102年7月26日,第39條,1022545565,102年8月29日
112,餐飲業,家城股份有限公司(漢堡王)-板橋店,102年7月26日,第39條,1022545565,102年8月29日
113,餐飲業,虹宴餐飲股份有限公司野宴100板橋分公司-野宴日式燒肉加盟店,102年7月22日,第39條,1022545144,102年8月29日
114,餐飲業,三喜燒肉店-野宴日式燒肉加盟店,102年7月19日,第24條,1022389693,102年8月7日
117,餐飲業,台灣吉野家股份有限公司(吉野家)-板橋店,102年7月9日,第39條,1022371882,102年8月2日
118,餐飲業,台灣吉野家股份有限公司(吉野家)-三重店,102年7月9日,第39條,1022371882,102年8月2日
119,餐飲業,豆福股份有限公司(涓豆腐),102年8月6日,第39條,1022530793,102年8月27日
120,餐飲業,達美樂披薩股份有限公司(達美樂)-新莊店,102年7月22日,第32條第2項,1022494126,102年8月23日
121,餐飲業,達美樂披薩股份有限公司(達美樂)-連城店,102年7月22日,第32條第2項,1022494126,102年8月23日
122,餐飲業,達美樂披薩股份有限公司(達美樂)-重新店,102年7月22日,第32條第2項,1022494126,102年8月23日
123,餐飲業,三澧企業股份有限公司(MOMO牧場)-環球牧場,102年8月2日,第24條,1022583428,102年9月5日
123,餐飲業,三澧企業股份有限公司(MOMO牧場)-環球牧場,102年8月2日,第32條第2項,10225834281,102年9月5日
124,餐飲業,三澧企業股份有限公司(MOMO牧場)-蘆洲牧場,102年8月2日,第32條第2項,10225834281,102年9月5日
127,餐飲業,王品餐飲股份有限公司(西堤)-板橋中山店,102年8月5日,第32條第2項,1022651188,102年9月13日
127,餐飲業,王品餐飲股份有限公司(西堤)-板橋中山店,102年8月5日,第38條,10226511881,102年9月13日
128,餐飲業,王品餐飲股份有限公司(西堤)-新莊新泰店,102年8月5日,第38條,10226511881,102年9月13日
129,餐飲業,怡和餐飲股份有限公司(肯德基)-板橋分公司,102年7月29日,第38條,1022628220,102年9月10日
130,餐飲業,怡和餐飲股份有限公司(肯德基)-三重三和分公司,102年7月29日,第38條,1022628220,102年9月10日
133,冷飲業,清心福全僑中店,102年6月18日,第36條,1022195187,102年7月15日
134,冷飲業,茶之味飲料店,102年7月2日,第21條第1項,1022417020,102年8月12日
135,冷飲業,皇爵五一四九飲茶良坊,102年6月5日,第30條第5項,1022380056,102年8月5日
140,零售量販業,名佳美股份有限公司,102年7月31日,第24條,1022762591,102年10月2日
141,餐飲業,禾群小吃店-波士狄克加盟店,102年8月19日,第22條第2項,1022738802,102年9月26日
141,餐飲業,禾群小吃店-波士狄克加盟店,102年8月19日,第24條,10227388021,102年9月26日
141,餐飲業,禾群小吃店-波士狄克加盟店,102年8月19日,第30條第5項,10227388022,102年9月26日
142,餐飲業,名流水岸餐館,102年7月5日,第22條第2項,1022417423,102年8月12日
142,餐飲業,名流水岸餐館,102年7月5日,第24條,10224174231,102年8月12日
143,其他,萬家興業股份有限公司,102年8月12日,第59條第2項,1022628158,102年9月10日
144,其他,米達詩花藝有限公司,102年7月5日,第80條,1022480867,102年8月20日
145,其他,福和生鮮農產有限公司,102年7月8日,第24條,1022468042,102年8月19日
146,零售量販業,正大紙袋實業有限公司,102年7月29日,第22條第2項,1022446214,102年8月15日
147,零售量販業,禾冠企業社,102年7月8日,第30條第5項,1022467605,102年8月16日
148,餐飲業,珍軒燒烤店,102年7月3日,第21條第1項,1022457811,102年8月15日
149,其他,聯頤國際藝術暨環境規劃設計股份有限公司,102年6月5日,第24條,1022226990,102年7月15日
150,其他,寶光企業社,102年6月10日,第30條第5項,1022327336,102年7月26日
151,其他,寶雅國際股份有限公司,102年6月26日,第22條第2項,1022299798,102年7月30日
152,其他,台灣彪馬股份有限公司,102年6月19日,第24條,1022219034,102年7月12日
152,其他,台灣彪馬股份有限公司,102年6月19日,第32條第2項,10222190341,102年7月12日
152,其他,台灣彪馬股份有限公司,102年6月19日,第39條,10222190342,102年7月12日
153,其他,新北食品股份有限公司,102年6月10日,第32條第2項,1022381516,102年8月5日
155,補教業,佳欣文理語文珠短期補習班-喬登美語加盟店,102年8月16日,第21條第1項,1022581134,102年9月9日
156,冷飲業,綠軒冷飲店-清新福全加盟店,102年9月2日,第24條,1022729147,102年9月27日
156,冷飲業,綠軒冷飲店-清新福全加盟店,102年9月2日,第32條第2項,10227291471,102年9月27日
157,冷飲業,津玉茶飲棧-清玉加盟店,102年9月2日,第24條,1022729367,102年9月26日
158,餐飲業,鴻佑小吃店-我家牛排加盟店,102年8月15日,第21條第1項,1022577702,102年9月9日
158,餐飲業,鴻佑小吃店-我家牛排加盟店,102年8月15日,第24條,1022577702,102年9月9日
158,餐飲業,鴻佑小吃店-我家牛排加盟店,102年8月15日,第39條,1022577702,102年9月9日
163,其他,薇庭企業股份有限公司,102年7月9日,第32條第2項,1023209928,102年9月9日
164,餐飲業,亨台有限公司(怡客咖啡股份有限公司),102年7月26日,第32條第2項,1023209931,102年9月10日
169,其他,運嘉工程有限公司,102年7月11日,第30條第5項,1023210511,102年9月13日
169,其他,運嘉工程有限公司,102年7月11日,第22條第2項,10232105111,102年9月13日
171,其他,雲朗觀光股份有限公司新莊分公司,102/7/15,第32條第2項,1023209927,102年9月5日
173,其他,大(火宏)有限公司,102年7月8日,第24條,1023208766,102年8月13日
175,其他,嘉里大榮物流股份有限公司(大榮貨運),102年7月25日,第30條第5項,1023210077,102年9月17日
175,其他,嘉里大榮物流股份有限公司(大榮貨運),102年7月25日,第36條,10232100771,102年9月17日
175,其他,嘉里大榮物流股份有限公司(大榮貨運),102年7月25日,第39條,10232100772,102年9月17日
178,其他,菁盛企業有限公司,102年7月22日,第24條,1023209798,102年9月5日
178,其他,菁盛企業有限公司,102年7月22日,第32條第2項,10232097981,102年9月5日
179,冷飲業,翔鑫商行-清玉手調原味茶永和中正店,102年7月25日,第24條,1023211262,102年10月3日
179,冷飲業,翔鑫商行-清玉手調原味茶永和中正店,102年7月25日,第32條第2項,10232112621,102年10月3日
179,冷飲業,翔鑫商行-清玉手調原味茶永和中正店,102年7月25日,第39條,10232112622,102年10月3日
182,餐飲業,尚品屋日式涮涮鍋屋,102年7月18日,第24條,1023209414,102年8月20日
183,其他,台灣三洋電機股份有限公司,102年7月17日,第30條第5項,1023209512,102年8月29日
184,加油站業,統一精工股份有限公司,102年7月11日,第32條第2項,1023209799,102年9月5日
186,加油站業,全國加油站股份有限公司,102年7月11日,第24條,1023209797,102年9月2日
187,加油站業,北基加油站股份有限公司,102年7月22日,第32條第2項,10232110971,102年9月30日
189,其他,喬治亞語文短期補習班,102年7月31日,第24條,1023210411,102年9月16日
190,其他,亂剪國際股份有限公司,102年8月1日,第30條第5項,1023209881,102年9月6日
